Game Turn, Player, SpyId, Action, Status, Location
228, 7, 24903765, MOVE TO CITY (ALREADY THERE), COMPLETE, 24:24
228, 7, 24903765, GAIN SOURCES, BEGIN, 24:24
228, 7, 25034795, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
229, 1, 20643901, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
229, 1, 20512824, MOVE TO CITY(44 20), BEGIN, 37:10
229, 1, 20709380, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
229, 1, 20709380, MOVE TO CITY(37 10), BEGIN, 44:20
229, 2, 15990799, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
229, 2, 15401011, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
229, 2, 15401011, MOVE TO CITY(22 10), BEGIN, 61:11
229, 4, 23724072, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
229, 4, 23527500, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
229, 4, 23527500, MOVE TO CITY(39 20), BEGIN, 40:7
229, 4, 23593022, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
229, 4, 23593022, MOVE TO CITY(39 20), BEGIN, 40:7
229, 4, 23658538, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
229, 4, 23658538, MOVE TO CITY(39 20), BEGIN, 40:7
229, 6, 27328549, MOVE TO CITY(40 7), BEGIN, 25:20
229, 7, 24969282, MOVE TO CITY(24 24), BEGIN, 61:11
229, 7, 25362524, MOVE TO CITY (ALREADY THERE), COMPLETE, 24:24
229, 7, 25362524, GAIN SOURCES, BEGIN, 24:24
229, 7, 25034795, MOVE TO CITY(24 24), BEGIN, 61:11
230, 1, 20643901, MOVE TO CITY(44 20), BEGIN, 37:10
230, 1, 20906040, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
230, 1, 20906040, MOVE TO CITY(37 10), BEGIN, 44:20
230, 2, 15990799, MOVE TO CITY(61 11), BEGIN, 22:10
230, 2, 16252979, MOVE TO CITY (ALREADY THERE), COMPLETE, 22:10
230, 4, 23789644, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
230, 4, 23789644, MOVE TO CITY(39 20), BEGIN, 40:7
230, 4, 23855166, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
230, 4, 23724072, MOVE TO CITY(40 7), BEGIN, 39:20
230, 4, 23920682, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
