Free: 29 spline, 109 tower
Update: 4 spline, 26 tower
Update: 6 spline, 38 tower
Free: 3 spline, 19 tower
Update: 18 spline, 94 tower
Free: 9 spline, 47 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 1 spline, 7 tower
Update: 81 spline, 295 tower
Free: 42 spline, 161 tower
Update: 50 spline, 188 tower
Free: 25 spline, 94 tower
Update: 18 spline, 52 tower
Free: 9 spline, 26 tower
Update: 2 spline, 9 tower
Update: 8 spline, 32 tower
Free: 4 spline, 16 tower
Update: 3 spline, 10 tower
Free: 3 spline, 10 tower
Update: 14 spline, 38 tower
Free: 7 spline, 19 tower
Update: 57 spline, 174 tower
Update: 254 spline, 843 tower
Free: 128 spline, 431 tower
Update: 218 spline, 742 tower
Free: 107 spline, 367 tower
Update: 57 spline, 174 tower
Update: 2 spline, 9 tower
Update: 10 spline, 30 tower
Free: 5 spline, 15 tower
Update: 24 spline, 82 tower
Update: 166 spline, 547 tower
Free: 84 spline, 283 tower
Update: 96 spline, 370 tower
Free: 46 spline, 181 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 24 spline, 82 tower
Update: 33 spline, 92 tower
Update: 136 spline, 432 tower
Free: 68 spline, 216 tower
Update: 134 spline, 414 tower
Free: 67 spline, 207 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 33 spline, 92 tower
Update: 27 spline, 80 tower
Update: 88 spline, 280 tower
Free: 44 spline, 140 tower
Update: 82 spline, 264 tower
Free: 41 spline, 132 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 27 spline, 80 tower
Update: 8 spline, 64 tower
Free: 4 spline, 32 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 42 spline, 120 tower
Free: 21 spline, 57 tower
Update: 30 spline, 102 tower
