Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
184, 7, 4, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
184, 4, 6, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
184, 4, 7, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
184, 5, 0, 已与一位敌人宣布友好, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
184, 5, 4, 已与一位朋友宣布友好, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
184, 5, 7, 已与一位朋友宣布友好, Activate,    4.0,    4.0,    0.0, 0, 0,    1.0
184, 5, 7, 已谴责一位敌人, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
184, 5, 1, 尊重有强大间谍网络的对手, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
184, 5, 6, 尊重有强大间谍网络的对手, Activate,   -8.0,   -8.0,    1.0, 0, 0,    1.0
184, 5, 2, 对他们有利的交易, Update,    5.0
184, 5, 4, 对他们有利的交易, Update,    7.0
184, 6, 7, 已谴责一位敌人, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
184, 6, 7, 对他们有利的交易, Update,    9.0
184, 7, 0, 已与一位朋友宣布友好, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
184, 7, 4, 已与一位朋友宣布友好, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
184, 7, 1, 对他们有利的交易, Update,    3.0
184, 7, 2, 对他们有利的交易, Activate,   10.0,   10.0,    0.0, 0, 2,   -1.0
184, 7,  2, 对他们有利的交易, Deactivate
184, 2, 7, 对他们有利的交易, Activate,   10.0,   10.0,    0.0, 0, 2,   -1.0
184, 2,  7, 对他们有利的交易, Deactivate
185, 0, 1, 对他们有利的交易, Update,    8.0
185, 0, 1, 您的好战性, Update,  -19.0
185, 0, 5, 您的好战性, Update,  -22.0
185, 0, 6, 您的好战性, Update,   -3.0
185, 1, 4, 与一位敌人结盟, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 1, 5, 与一位敌人结盟, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 1, 7, 与一位敌人结盟, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 1, 4, 已与一位敌人宣布友好, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 1, 5, 已与一位敌人宣布友好, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 1, 7, 已与一位敌人宣布友好, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
185, 1, 2, 已谴责一位敌人, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 1, 4, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
185, 1, 4, 我们的军队已到达他们边境, Update,    0.0
185, 1, 4, 您的好战性, Update,   -7.0
185, 1, 5, 对他们有利的交易, Update,    3.0
185, 1, 6, 我们谴责了他们, Update,   -8.0
185, 1, 6, 您的好战性, Update,   -4.0
185, 1, 7, 对他们有利的交易, Update,    2.0
185, 2, 4, 在他们附近定居, Activate,   -3.0,   -3.0,    0.0, 0, 10,   -1.0
185, 2, 4, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
185, 2, 4, 拒绝向他们做出外交承诺, Activate,   -3.0,   -3.0,    0.0, 0, 10,    1.0
185, 2,  4, 拒绝向他们做出外交承诺, Deactivate
185, 2, 1, 您的好战性, Update,  -10.0
185, 2, 5, 您的好战性, Update,  -10.0
185, 2, 6, 您的好战性, Update,   -3.0
185, 4, 1, 拒绝向他们做出外交承诺, Update,   -4.0
185, 4, 1, 您的好战性, Update,  -15.0
185, 4, 5, 对他们有利的交易, Update,    7.0
185, 4, 5, 您的好战性, Update,  -18.0
185, 4, 6, 您的好战性, Update,   -3.0
185, 5, 1, 已谴责一位敌人, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
185, 5, 4, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
185, 5, 2, 已谴责一位朋友, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
185, 5, 2, 尊重有强大间谍网络的对手, Activate,   -8.0,   -8.0,    1.0, 0, 0,    1.0
185, 5, 4, 尊重有强大间谍网络的对手, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
185, 5, 7, 尊重有强大间谍网络的对手, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
185, 5, 0, 对他们有利的交易, Update,    9.0
