Player,FromPlayer,Delta,New Total Weariness,Reason
6, 2, -200, 1744, At Peace Decay
2, 6, -200, 5283, At Peace Decay
6, 2, -200, 1544, At Peace Decay
2, 6, -200, 5083, At Peace Decay
6, 2, -200, 1344, At Peace Decay
2, 6, -200, 4883, At Peace Decay
6, 2, -200, 1144, At Peace Decay
2, 6, -200, 4683, At Peace Decay
6, 2, -200, 944, At Peace Decay
2, 6, -200, 4483, At Peace Decay
6, 2, -200, 744, At Peace Decay
2, 6, -200, 4283, At Peace Decay
6, 2, -200, 544, At Peace Decay
2, 6, -200, 4083, At Peace Decay
6, 2, -200, 344, At Peace Decay
2, 6, -200, 3883, At Peace Decay
6, 2, -200, 144, At Peace Decay
2, 6, -200, 3683, At Peace Decay
6, 2, -200, 0, At Peace Decay
2, 6, -200, 3483, At Peace Decay
2, 6, -200, 3283, At Peace Decay
2, 6, -200, 3083, At Peace Decay
2, 6, -200, 2883, At Peace Decay
2, 6, -200, 2683, At Peace Decay
4, 6, 80, 80, Attacking
6, 4, 40, 40, Getting Attacked
4, 6, 80, 160, Attacking
6, 4, 40, 80, Getting Attacked
4, 6, 80, 240, Attacking
6, 4, 160, 240, Getting Attacked
4, 6, 80, 320, Attacking
6, 4, 40, 280, Getting Attacked
4, 6, 80, 400, Attacking
6, 4, 40, 320, Getting Attacked
4, 6, 80, 480, Attacking
6, 4, 40, 360, Getting Attacked
4, 6, 80, 560, Attacking
6, 4, 160, 520, Getting Attacked
4, 6, 80, 640, Attacking
6, 4, 80, 600, Getting Attacked
6, 4, -50, 550, At War Decay
6, 4, 40, 590, Attacking
4, 6, 80, 720, Getting Attacked
6, 4, 40, 630, Attacking
4, 6, 80, 800, Getting Attacked
6, 4, 40, 670, Attacking
4, 6, 200, 1000, Getting Attacked
6, 4, 80, 750, Attacking
4, 6, 80, 1080, Getting Attacked
6, 4, 80, 830, Attacking
4, 6, 40, 1120, Getting Attacked
6, 2, 80, 80, Attacking
2, 6, 30, 2713, Getting Attacked
6, 2, 80, 160, Attacking
2, 6, 120, 2833, Getting Attacked
6, 2, 80, 240, Attacking
2, 6, 60, 2893, Getting Attacked
2, 6, -50, 2843, At War Decay
2, 6, 60, 2903, Attacking
6, 2, 80, 320, Getting Attacked
2, 6, 60, 2963, Attacking
6, 2, 80, 400, Getting Attacked
2, 6, 30, 2993, Attacking
6, 2, 200, 600, Getting Attacked
4, 6, -50, 1070, At War Decay
4, 6, 80, 1150, Attacking
6, 4, 80, 910, Getting Attacked
4, 6, 80, 1230, Attacking
6, 4, 80, 990, Getting Attacked
4, 6, 80, 1310, Attacking
6, 4, 40, 1030, Getting Attacked
4, 6, 80, 1390, Attacking
6, 4, 40, 1070, Getting Attacked
4, 6, 80, 1470, Attacking
6, 4, 160, 1230, Getting Attacked
4, 6, 80, 1550, Attacking
6, 4, 40, 1270, Getting Attacked
4, 6, 80, 1630, Attacking
6, 4, 160, 1430, Getting Attacked
4, 6, 80, 1710, Attacking
6, 4, 40, 1470, Getting Attacked
4, 6, 80, 1790, Attacking
6, 4, 40, 1510, Getting Attacked
4, 6, 80, 1870, Attacking
