Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
190, CIVILIZATION_SUMERIA, 11, 103, 64, 50, 14, 2, 3, 0, 243, 112, 1446, 430, 221, 319, 682, 46, 644, 357, 243, 367, 30, 102, 77, 328
190, CIVILIZATION_NORWAY, 10, 114, 49, 36, 2, 0, 0, 0, 194, 63, 1141, 152, 119, 67, 437, 27, 415, 329, 194, 208, 36, 113, 17, 182
190, CIVILIZATION_ENGLAND, 11, 124, 53, 33, 21, 14, 1, 3, 214, 89, 1087, 478, 217, 87, 987, 22, 629, 448, 214, 359, 43, 123, 99, 236
190, CIVILIZATION_FRANCE, 10, 106, 50, 51, 24, 7, 9, 13, 279, 86, 4421, 608, 124, 354, 1257, 193, 518, 341, 279, 371, 35, 105, 60, 458
190, CIVILIZATION_BRAZIL, 13, 122, 49, 47, 14, 4, 2, 10, 272, 75, 2002, 431, 125, 257, 916, 126, 574, 313, 272, 307, 41, 121, 20, 292
190, CIVILIZATION_ARABIA, 9, 93, 42, 32, 43, 29, 0, 6, 185, 78, 6608, 507, 142, 90, 1230, 146, 464, 288, 185, 432, 31, 92, 46, 198
190, CIVILIZATION_ZANZIBAR, 1, 12, 49, 32, 3, 1, 0, 1, 13, 10, 2478, 84, 10, 6, 54, 0, 14, 26, 13, 29, 2, 11, 18, 16
190, CIVILIZATION_BUENOS_AIRES, 1, 10, 48, 31, 6, 0, 0, 1, 10, 8, 164, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
190, CIVILIZATION_NAN_MADOL, 1, 7, 49, 26, 3, 0, 0, 0, 13, 6, 60, 35, 6, 12, 16, 0, 14, 12, 13, 23, 1, 6, 8, 10
190, CIVILIZATION_PRESLAV, 1, 15, 49, 34, 10, 8, 0, 0, 14, 12, 68, 94, 8, 5, 9, 0, 4, 46, 14, 15, 0, 16, 0, 12
190, CIVILIZATION_LA_VENTA, 1, 13, 46, 32, 4, 1, 0, 0, 13, 9, 480, 1928, 10, 6, 21, 15, 8, 30, 13, 26, 1, 13, 16, 6
190, CIVILIZATION_JAKARTA, 1, 15, 44, 26, 8, 0, 0, 0, 13, 10, 455, 40, 11, 6, 25, 0, 6, 42, 13, 23, 1, 16, 0, 0
